Gene,CellType
Slc5a7,CHI
Ecel1,CHI
Slc17a8,CHI
Chat,CHI
Slc10a4,CHI
Trpc3,CHI
Cpne4,CHI
Tacr1,CHI
Zic1,CHI
Clstn2,CHI
Chrm2,CHI
Tacr3,CHI
Ntrk1,CHI
Elfn1,CHI
Slc18a3,CHI
Nrip3,CHI
Gm4980,CHI
Kcnt2,CHI
Adcy2,CHI
C130060K24Rik,CHI
Ndnf,CHI
Lhx8,CHI
Tshz2,CHI
Tnfaip8l3,CHI
Drd5,CHI
Crabp2,CHI
Pde3a,CHI
Sphkap,CHI
Syt13,CHI
Cpne7,CHI
Gdnf,CHI
Grin3a,CHI
Ufsp1,CHI
Dscam,CHI
Rgs6,CHI
Tshz3,CHI
Asic2,CHI
Homer2,CHI
Sez6l,CHI
C530008M17Rik,CHI
Ccdc136,CHI
Ptchd4,CHI
Bcat1,CHI
Glra2,CHI
Mxra7,CHI
Hspb8,CHI
Oprd1,CHI
Camk2n2,CHI
Chml,CHI
Ctif,CHI
Mmgt2,CHI
Prima1,CHI
Vat1,CHI
Penk,Canonical_MSN
Pcp4,Canonical_MSN
Nrgn,Canonical_MSN
Scn4b,Canonical_MSN
Ppp1r1b,Canonical_MSN
Hpca,Canonical_MSN
Calm2,Canonical_MSN
Car11,Canonical_MSN
Adcy5,Canonical_MSN
Gpr88,Canonical_MSN
Pde1b,Canonical_MSN
Arpp19,Canonical_MSN
Pde10a,Canonical_MSN
Kcnip2,Canonical_MSN
Rgs9,Canonical_MSN
Nsg2,Canonical_MSN
Gng7,Canonical_MSN
Lzts3,Canonical_MSN
Spock3,Canonical_MSN
Ncdn,Canonical_MSN
Aldoa,Canonical_MSN
Ptpn5,Canonical_MSN
Gm42418,Canonical_MSN
Cnr1,Canonical_MSN
Pkm,Canonical_MSN
Calm1,Canonical_MSN
Tmem158,Canonical_MSN
Gapdh,Canonical_MSN
AY036118,Canonical_MSN
Rap1gap,Canonical_MSN
Itm2c,Canonical_MSN
Adora2a,Canonical_MSN
C1qtnf4,Canonical_MSN
Arf3,Canonical_MSN
Rtn1,Canonical_MSN
Ubb,Canonical_MSN
Uchl1,Canonical_MSN
Phactr1,Canonical_MSN
Elmod1,Canonical_MSN
Pja2,Canonical_MSN
Inf2,Canonical_MSN
Ppp3r1,Canonical_MSN
Rasd2,Canonical_MSN
Ckb,Canonical_MSN
Atp2b1,Canonical_MSN
Ywhaz,Canonical_MSN
Tomm20,Canonical_MSN
Arpp21,Canonical_MSN
Chchd10,Canonical_MSN
Foxp1,Canonical_MSN
Chn1,Canonical_MSN
Fbxl16,Canonical_MSN
Camk2n1,Canonical_MSN
Ngef,Canonical_MSN
Prkacb,Canonical_MSN
Pde2a,Canonical_MSN
Camk2b,Canonical_MSN
Hspa8,Canonical_MSN
Baiap2,Canonical_MSN
Cacna2d3,Canonical_MSN
Atp2a2,Canonical_MSN
Ppp3ca,Canonical_MSN
Cplx2,Canonical_MSN
Tac1,Canonical_MSN
Trank1,Canonical_MSN
Sez6,Canonical_MSN
Snrpn,Canonical_MSN
Pcsk1n,Canonical_MSN
Ppia,Canonical_MSN
Onecut2,Canonical_MSN
Pcsk2,Canonical_MSN
Rgs4,Canonical_MSN
Ryr1,Canonical_MSN
mt-Nd2,Canonical_MSN
Prkcb,Canonical_MSN
Gnal,Canonical_MSN
Ptms,Canonical_MSN
Rasgef1a,Canonical_MSN
Ryr3,Canonical_MSN
mt-Co3,Canonical_MSN
Lrrc10b,Canonical_MSN
Nsg1,Canonical_MSN
Alcam,Canonical_MSN
Bex2,Canonical_MSN
mt-Cytb,Canonical_MSN
Hsp90aa1,Canonical_MSN
Sepw1,Canonical_MSN
Bcl11b,Canonical_MSN
Pdzd2,Canonical_MSN
Itpr1,Canonical_MSN
Atp5b,Canonical_MSN
Kctd1,Canonical_MSN
Anks1b,Canonical_MSN
Fnbp1l,Canonical_MSN
Kcnk2,Canonical_MSN
Lrrc7,Canonical_MSN
Erc2,Canonical_MSN
Wipf3,Canonical_MSN
mt-Atp6,Canonical_MSN
Ptk2b,Canonical_MSN
Map1b,Canonical_MSN
Slc32a1,Canonical_MSN
Hsp90ab1,Canonical_MSN
Kcnj4,Canonical_MSN
Pou3f1,Canonical_MSN
Rpl3,Canonical_MSN
Dbp,Canonical_MSN
Rbfox1,Canonical_MSN
Phyhip,Canonical_MSN
Ppp1r9a,Canonical_MSN
Grm5,Canonical_MSN
Car12,Canonical_MSN
Ppp2r1a,Canonical_MSN
Lrrk2,Canonical_MSN
Zfyve28,Canonical_MSN
Mhrt,Canonical_MSN
Atpif1,Canonical_MSN
Ctsb,Canonical_MSN
Rasgrp1,Canonical_MSN
Celf2,Canonical_MSN
Kif5c,Canonical_MSN
Neto2,Canonical_MSN
Ndrg4,Canonical_MSN
Cacna1e,Canonical_MSN
Cox6c,Canonical_MSN
Thy1,Canonical_MSN
Tef,Canonical_MSN
Gpr6,Canonical_MSN
Cx3cl1,Canonical_MSN
Cdk5r2,Canonical_MSN
Rplp2,Canonical_MSN
2010300C02Rik,Canonical_MSN
Cox5a,Canonical_MSN
Rasgrp2,Canonical_MSN
A230006K03Rik,Canonical_MSN
Icam5,Canonical_MSN
Tomm70a,Canonical_MSN
Mtcl1,Canonical_MSN
Eif1,Canonical_MSN
Rps29,Canonical_MSN
Mtch1,Canonical_MSN
Eef1a1,Canonical_MSN
Myh10,Canonical_MSN
mt-Co2,Canonical_MSN
Dynll2,Canonical_MSN
Lars2,Canonical_MSN
D430041D05Rik,Canonical_MSN
Tesc,Canonical_MSN
Chst1,Canonical_MSN
Scrn1,Canonical_MSN
PISD,Canonical_MSN
Tcp1,Canonical_MSN
Pcp4l1,Canonical_MSN
Camkv,Canonical_MSN
Scn2b,Canonical_MSN
Gm27032,Canonical_MSN
Nptn,Canonical_MSN
Tmem191c,Canonical_MSN
Myo5a,Canonical_MSN
Gabbr1,Canonical_MSN
St8sia3,Canonical_MSN
Sptbn2,Canonical_MSN
Calm3,Canonical_MSN
Slc25a4,Canonical_MSN
Atp1a3,Canonical_MSN
Gsk3b,Canonical_MSN
Eml5,Canonical_MSN
Psip1,Canonical_MSN
Ap1s1,Canonical_MSN
Kalrn,Canonical_MSN
Sh2d5,Canonical_MSN
Arpc1a,Canonical_MSN
Actg1,Canonical_MSN
Sipa1l1,Canonical_MSN
Rgs7bp,Canonical_MSN
Fkbp1a,Canonical_MSN
Tsnax,Canonical_MSN
Cep70,Canonical_MSN
Lmo7,Canonical_MSN
Far1,Canonical_MSN
Camk4,Canonical_MSN
Vdac1,Canonical_MSN
Actb,Canonical_MSN
Homer1,Canonical_MSN
Gm16105,Canonical_MSN
Mctp1,Canonical_MSN
Epb41,Canonical_MSN
Rab6b,Canonical_MSN
Zfp950,Canonical_MSN
Rnf207,Canonical_MSN
Strn,Canonical_MSN
Dnm1,Canonical_MSN
Tmem30a,Canonical_MSN
Atp1b1,Canonical_MSN
Nexn,Canonical_MSN
Chchd2,Canonical_MSN
Pdp1,Canonical_MSN
Cyfip2,Canonical_MSN
Abi3bp,Canonical_MSN
Arhgef9,Canonical_MSN
AI593442,Canonical_MSN
Stk26,Canonical_MSN
Grin2b,Canonical_MSN
Syndig1l,Canonical_MSN
Atp5g1,Canonical_MSN
45546,Canonical_MSN
Ndufs5,Canonical_MSN
C2cd2l,Canonical_MSN
B230334C09Rik,Canonical_MSN
Cend1,Canonical_MSN
Actn1,Canonical_MSN
Tuba4a,Canonical_MSN
9530059O14Rik,Canonical_MSN
Lrpap1,Canonical_MSN
Pebp1,Canonical_MSN
Sorbs2,Canonical_MSN
A830036E02Rik,Canonical_MSN
Vamp2,Canonical_MSN
Dmtn,Canonical_MSN
Tpi1,Canonical_MSN
Gpm6a,Canonical_MSN
Mapk1,Canonical_MSN
Cox8a,Canonical_MSN
Traip,Canonical_MSN
Foxo1,Canonical_MSN
Hspa5,Canonical_MSN
Dlg4,Canonical_MSN
Purb,Canonical_MSN
Matk,Canonical_MSN
Rtn3,Canonical_MSN
Acvr1c,Canonical_MSN
Nckap1,Canonical_MSN
mt-Nd4,Canonical_MSN
Hrh3,Canonical_MSN
Oxct1,Canonical_MSN
Ablim2,Canonical_MSN
Csmd1,Canonical_MSN
Lingo3,Canonical_MSN
Caly,Canonical_MSN
Caln1,Canonical_MSN
Htr1b,Canonical_MSN
RP24-267C3.3,Canonical_MSN
Kcnab1,Canonical_MSN
Shkbp1,Canonical_MSN
Ndufb4,Canonical_MSN
Map1a,Canonical_MSN
Cdk5r1,Canonical_MSN
Col6a1,Canonical_MSN
Slc12a5,Canonical_MSN
H2afj,Canonical_MSN
Pdyn,Canonical_MSN
Celf1,Canonical_MSN
Kdm4b,Canonical_MSN
Gaa,Canonical_MSN
Ldhb,Canonical_MSN
Oaz1,Canonical_MSN
Grin1,Canonical_MSN
Plppr4,Canonical_MSN
Lrrtm3,Canonical_MSN
Tceb2,Canonical_MSN
Celf5,Canonical_MSN
Rnf112,Canonical_MSN
Stk32c,Canonical_MSN
Nucks1,Canonical_MSN
Tspan7,Canonical_MSN
Kcna4,Canonical_MSN
Maged1,Canonical_MSN
Eif4a1,Canonical_MSN
Hras,Canonical_MSN
Cox6b1,Canonical_MSN
Ivns1abp,Canonical_MSN
Mgea5,Canonical_MSN
Ano3,Canonical_MSN
Unc13c,Canonical_MSN
Cacnb2,Canonical_MSN
Enc1,Canonical_MSN
2900055J20Rik,Canonical_MSN
Atp1a1,Canonical_MSN
Ebf1,Canonical_MSN
Fcho1,Canonical_MSN
Atxn1,Canonical_MSN
Slit3,Canonical_MSN
Mrfap1,Canonical_MSN
Cox7c,Canonical_MSN
Gad2,Canonical_MSN
Mif,Canonical_MSN
Gprin3,Canonical_MSN
Rgs14,Canonical_MSN
Calr,Canonical_MSN
Jakmip1,Canonical_MSN
A930011G23Rik,Canonical_MSN
Dpp6,Canonical_MSN
Serinc1,Canonical_MSN
Rpl23,Canonical_MSN
Mdh1,Canonical_MSN
Atp5g3,Canonical_MSN
Slmap,Canonical_MSN
Cacng3,Canonical_MSN
Aes,Canonical_MSN
Sirpa,Canonical_MSN
Gria3,Canonical_MSN
Kcnd2,Canonical_MSN
Mllt4,Canonical_MSN
Syt4,Canonical_MSN
Plcb1,Canonical_MSN
Dpy19l3,Canonical_MSN
Crocc,Canonical_MSN
Grm7,Canonical_MSN
Naca,Canonical_MSN
Nell2,Canonical_MSN
Rpl22l1,Canonical_MSN
Lrp1b,Canonical_MSN
Ankrd63,Canonical_MSN
mt-Nd1,Canonical_MSN
Mapk1ip1,Canonical_MSN
Shisa7,Canonical_MSN
mt-Co1,Canonical_MSN
Gria2,Canonical_MSN
Necab2,Canonical_MSN
R3hdm1,Canonical_MSN
Flrt3,Canonical_MSN
Nefl,Canonical_MSN
Cox4i1,Canonical_MSN
Clstn1,Canonical_MSN
Pld3,Canonical_MSN
Atp2b2,Canonical_MSN
Ndufa13,Canonical_MSN
Scamp1,Canonical_MSN
Zc3h6,Canonical_MSN
Dynll1,Canonical_MSN
Ept1,Canonical_MSN
Ldha,Canonical_MSN
Srpk1,Canonical_MSN
Smpd3,Canonical_MSN
Psap,Canonical_MSN
Arhgef2,Canonical_MSN
Bzrap1,Canonical_MSN
Ccnd2,Canonical_MSN
Ankrd10,Canonical_MSN
Csmd3,Canonical_MSN
Snca,Canonical_MSN
Rasgef1b,Canonical_MSN
Ascc3,Canonical_MSN
Rab3a,Canonical_MSN
Drd1,Canonical_MSN
Rpl26,Canonical_MSN
Gas7,Canonical_MSN
Kcnt1,Canonical_MSN
Rnf187,Canonical_MSN
Ctxn1,Canonical_MSN
Cttnbp2,Canonical_MSN
Srrm3,Canonical_MSN
Slc24a2,Canonical_MSN
Akap5,Canonical_MSN
Cyld,Canonical_MSN
Morf4l1,Canonical_MSN
Arhgap10,Canonical_MSN
Cpne5,Canonical_MSN
Itpka,Canonical_MSN
Sh3bgrl3,Canonical_MSN
Chrm1,Canonical_MSN
Lmo3,Canonical_MSN
C2cd5,Canonical_MSN
Atp5j2,Canonical_MSN
Rpgr,Canonical_MSN
Grm1,Canonical_MSN
Grik2,Canonical_MSN
Pi4ka,Canonical_MSN
Mpped2,Canonical_MSN
Mmd,Canonical_MSN
Cyp46a1,Canonical_MSN
Oprk1,Canonical_MSN
Prkar2b,Canonical_MSN
Atp5a1,Canonical_MSN
Eef1a2,Canonical_MSN
Rps7,Canonical_MSN
Arf1,Canonical_MSN
Trim44,Canonical_MSN
Ngfrap1,Canonical_MSN
Mir124a-1hg,Canonical_MSN
Serpina9,Canonical_MSN
Ntrk3,Canonical_MSN
Rxrg,Canonical_MSN
Brinp1,Canonical_MSN
Ddn,Canonical_MSN
Cntn5,Canonical_MSN
Lamp5,Canonical_MSN
Celf3,Canonical_MSN
Gstm1,Astrocytes
F3,Astrocytes
Appl2,Astrocytes
Fxyd1,Astrocytes
Slc1a3,Astrocytes
Slc27a1,Astrocytes
Ntsr2,Astrocytes
Ddhd1,Astrocytes
Mfge8,Astrocytes
Ezr,Astrocytes
Naaa,Astrocytes
Acsbg1,Astrocytes
S1pr1,Astrocytes
Sox9,Astrocytes
Sdc4,Astrocytes
Aldh1l1,Astrocytes
Lcat,Astrocytes
Slc38a3,Astrocytes
Cldn10,Astrocytes
Id4,Astrocytes
Mlc1,Astrocytes
Fgfr3,Astrocytes
Slco1c1,Astrocytes
Paqr8,Astrocytes
Cbs,Astrocytes
Prodh,Astrocytes
Phkg1,Astrocytes
Adhfe1,Astrocytes
Slc15a2,Astrocytes
Tril,Astrocytes
Dio2,Astrocytes
Arhgef26,Astrocytes
Cyp2d22,Astrocytes
Aqp4,Astrocytes
Smpdl3a,Astrocytes
Cyp2j9,Astrocytes
Vcam1,Astrocytes
Gabrg1,Astrocytes
Slc39a12,Astrocytes
Tyrobp,Microglia
Ctss,Microglia
C1qc,Microglia
Rnase4,Microglia
Cd68,Microglia
Cyba,Microglia
Fcrls,Microglia
Clic1,Microglia
Ly86,Microglia
Plxdc2,Microglia
Entpd1,Microglia
Lyn,Microglia
C3ar1,Microglia
Cfh,Microglia
Hk2,Microglia
Zfhx3,Microglia
ERCC-00130,ERCC
ERCC-00004,ERCC
ERCC-00136,ERCC
ERCC-00108,ERCC
ERCC-00116,ERCC
ERCC-00092,ERCC
ERCC-00095,ERCC
ERCC-00131,ERCC
ERCC-00062,ERCC
ERCC-00019,ERCC
ERCC-00144,ERCC
ERCC-00170,ERCC
ERCC-00154,ERCC
ERCC-00085,ERCC
ERCC-00028,ERCC
ERCC-00033,ERCC
ERCC-00134,ERCC
ERCC-00147,ERCC
ERCC-00097,ERCC
ERCC-00156,ERCC
ERCC-00123,ERCC
ERCC-00017,ERCC
ERCC-00083,ERCC
ERCC-00096,ERCC
ERCC-00171,ERCC
ERCC-00009,ERCC
ERCC-00042,ERCC
ERCC-00060,ERCC
ERCC-00035,ERCC
ERCC-00025,ERCC
ERCC-00051,ERCC
ERCC-00053,ERCC
ERCC-00148,ERCC
ERCC-00126,ERCC
ERCC-00034,ERCC
ERCC-00150,ERCC
ERCC-00067,ERCC
ERCC-00031,ERCC
ERCC-00109,ERCC
ERCC-00073,ERCC
ERCC-00158,ERCC
ERCC-00104,ERCC
ERCC-00142,ERCC
ERCC-00138,ERCC
ERCC-00117,ERCC
ERCC-00075,ERCC
ERCC-00074,ERCC
ERCC-00113,ERCC
ERCC-00145,ERCC
ERCC-00111,ERCC
ERCC-00076,ERCC
ERCC-00044,ERCC
ERCC-00162,ERCC
ERCC-00071,ERCC
ERCC-00084,ERCC
ERCC-00099,ERCC
ERCC-00054,ERCC
ERCC-00157,ERCC
ERCC-00143,ERCC
ERCC-00039,ERCC
ERCC-00058,ERCC
ERCC-00120,ERCC
ERCC-00040,ERCC
ERCC-00164,ERCC
ERCC-00024,ERCC
ERCC-00016,ERCC
ERCC-00012,ERCC
ERCC-00098,ERCC
ERCC-00057,ERCC
ERCC-00002,ERCC
ERCC-00046,ERCC
ERCC-00003,ERCC
ERCC-00043,ERCC
ERCC-00022,ERCC
ERCC-00112,ERCC
ERCC-00165,ERCC
ERCC-00079,ERCC
ERCC-00078,ERCC
ERCC-00163,ERCC
ERCC-00059,ERCC
ERCC-00160,ERCC
ERCC-00014,ERCC
ERCC-00077,ERCC
ERCC-00069,ERCC
ERCC-00137,ERCC
ERCC-00013,ERCC
ERCC-00168,ERCC
ERCC-00041,ERCC
ERCC-00081,ERCC
ERCC-00086,ERCC
ERCC-00061,ERCC
ERCC-00048,ERCC